metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
NAD	RXN-8629;TRANS-RXN0-277;LACTALDREDUCT-RXN;NADPYROPHOSPHAT-RXN;1.8.1.4-RXN;RXNQT-4171;L-LACTATE-DEHYDROGENASE-RXN;RXN-9718;RXN0-1132;RXN-15025;RXN-13158;GLYCOLALDREDUCT-RXN;LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN;1.1.1.53-RXN;L-IDITOL-2-DEHYDROGENASE-RXN;DNA-LIGASE-NAD+-RXN;RXN66-3;GLYCERATE-DEHYDROGENASE-RXN;PYRNUTRANSHYDROGEN-RXN;NAD-KIN-RXN;ALCOHOL-DEHYDROG-RXN;D-XYLULOSE-REDUCTASE-RXN;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-7644;RXN-7719;RXNQT-4165;GAPOXNPHOSPHN-RXN;RXNQT-4178;RXN-7572;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;GCVMULTI-RXN;RXN-14986;PGLYCDEHYDROG-RXN;OROTATE-REDUCTASE-NADH-RXN	RXN-8629;NADPYROPHOSPHAT-RXN;1.8.1.4-RXN;RXNQT-4171;L-LACTATE-DEHYDROGENASE-RXN;RXN0-1132;RXN-13158;RXN-16285;L-IDITOL-2-DEHYDROGENASE-RXN;DNA-LIGASE-NAD+-RXN;DLACTDEHYDROGNAD-RXN;RXN0-5289;GLYCERATE-DEHYDROGENASE-RXN;RXN-7657;NAD-KIN-RXN;ALCOHOL-DEHYDROG-RXN;RXNQT-4174;MANNPDEHYDROG-RXN;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-3341;RXN-7644;RXN-7719;RXNQT-4165;GAPOXNPHOSPHN-RXN;RXNQT-4178;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;RXN-7572;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;RXN-14986;PGLYCDEHYDROG-RXN;OROTATE-REDUCTASE-NADH-RXN	RXN-8629;1.8.1.4-RXN;RXNQT-4171;GLYCDEH-RXN;L-LACTATE-DEHYDROGENASE-RXN;RXN0-1132;RXN-13158;DNA-LIGASE-NAD+-RXN;GLYCERATE-DEHYDROGENASE-RXN;NAD-KIN-RXN;ALCOHOL-DEHYDROG-RXN;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-8001;RXN-7719;RXNQT-4165;RXNQT-4178;HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN;RXN-7572;ALANINE-DEHYDROGENASE-RXN;IMP-DEHYDROG-RXN;RXNQT-4168;RXN-7716;RXN-14986;OROTATE-REDUCTASE-NADH-RXN	RXN-19806;NADH-DEHYDROG-A-RXN;RXN-8641;NAD-SYNTH-GLN-RXN;RXN1YI0-16;RXN-21415;R4-RXN	RXN-9658;NAD-SYNTH-NH3-RXN;NADH-DEHYDROG-A-RXN;1.2.1.42-RXN;RXN-11032;RXN-17126;NAD-SYNTH-GLN-RXN;RXN-12446;RXN1YI0-16;RXN-9659;RXN-22913;RXN-21415;RXN-9661;RXN-9657;R4-RXN;RXN-21950;RXN-9662;RXN-9660;RXN0-5375;RXN-6702;RXN-16632;RXN-9663;ENOYL-ACP-REDUCT-NADH-RXN	RXN-21415;RXN-11032;NAD-SYNTH-NH3-RXN;NADH-DEHYDROG-A-RXN;2.7.7.1-RXN;RXN-12446;NAD-SYNTH-GLN-RXN;RXN-22913
FRU1P	RXN0-5186;RXN-8631	RXN-8631		RXN-15154		
16S-rRNA-2-O-methylcytidine1409				RXN-12462		
ACET	ACETATEKIN-RXN	ACETATEKIN-RXN	ACETATEKIN-RXN	NAG6PDEACET-RXN;RXN-13889;RXN66-3;RXN-13890;3.5.1.80-RXN;3.5.1.29-RXN;RXN-19911;RXN-22319;DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN;DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN;RXN0-5414;RXN0-7013	NAG6PDEACET-RXN;RXN-12726;RXN-19631;3.5.1.80-RXN;ACETYLORNDEACET-RXN;RXN-22319;ACETYLHOMOSER-CYS-RXN;3.1.1.72-RXN;RXN-11290;O-ACETYLHOMOSERINE-THIOL-LYASE-RXN;RXN0-5414;ACSERLY-RXN;RXN-7933;N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN;CEPHALOSPORIN-C-DEACETYLASE-RXN	RXN-12726;ACETYLORNDEACET-RXN;RXN-22319;ACETYLHOMOSER-CYS-RXN;O-ACETYLHOMOSERINE-THIOL-LYASE-RXN;RXN0-5414;ACSERLY-RXN;RXN-7933;N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN
5-HYDROXY-CTP			RXN-14188	RXN0-7080	RXN0-7080	RXN0-7080
GLY	GLYRIBONUCSYN-RXN;GCVMULTI-RXN;GLYCINE--TRNA-LIGASE-RXN;RXN-16665	GLYRIBONUCSYN-RXN;RXN-13404;GLYCINE--TRNA-LIGASE-RXN	GLYRIBONUCSYN-RXN;RXN-13404;GLYCINE--TRNA-LIGASE-RXN	RXN-17388;RXN0-6563;PHENYLSERINE-ALDOLASE-RXN;THREONINE-ALDOLASE-RXN;RXN-19726;CHOLOYLGLYCINE-HYDROLASE-RXN;LTAA-RXN	RXN-19726;RXN0-5234;GLYOHMETRANS-RXN;ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	RXN-19726;RXN0-5234;GLYOHMETRANS-RXN
ALPHA-MALTOSE	5.4.99.16-RXN	5.1.3.21-RXN	5.1.3.21-RXN			
RIBOSE-5P	PRPPSYN-RXN;RIB5PISOM-RXN	PRPPSYN-RXN;RIB5PISOM-RXN	PRPPSYN-RXN;RIB5PISOM-RXN	1TRANSKETO-RXN	PPENTOMUT-RXN;1TRANSKETO-RXN	PPENTOMUT-RXN;1TRANSKETO-RXN
CPD-10467				RXN-19562	RXN-19562	RXN-19562
mRNA-Fragments				3.1.26.3-RXN;RXN0-6523;RXN0-5509	3.1.26.3-RXN	3.1.26.3-RXN
