metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
UDP-N-ACETYL-D-GLUCOSAMINE	RXN-8976;RXN-11346;NACGLCTRANS-RXN;RXN-11029;RXN-22611;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;RXN-22615;RXN-6380	RXN-8976;RXN-11346;NACGLCTRANS-RXN;RXN8J2-1;UDPGLCNACEPIM-RXN;RXN-11029;RXN-22611;UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;RXN-22615;GLCNACPTRANS-RXN;RXN0-5413	RXN-8976;RXN-11346;NACGLCTRANS-RXN;RXN-11029;RXN-22611;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN;RXN-22615;GLCNACPTRANS-RXN			
DUTP	DUTP-PYROP-RXN	DUTP-PYROP-RXN	DUTP-PYROP-RXN	DCTP-DEAM-RXN;RXN-21265;RXN0-724	RXN-21265;RXN0-724	RXN-21265;DUDPKIN-RXN;RXN0-724
CR+6	RXN0-3381					
CPD0-1027	RXN-9025	RXN-9025	RXN-9025	RXN-19947	RXN-19947	RXN-19947
CPD0-1110	RXN0-5304	RXN0-5304				
Dihydro-Lipoyl-Proteins	1.8.1.4-RXN	1.8.1.4-RXN	1.8.1.4-RXN			
Wound-RNA	RXN-11109	RXN-11109	RXN-11109			
THR	THREDEHYD-RXN;THREONINE--TRNA-LIGASE-RXN;THREONINE-ALDOLASE-RXN;RXN-14569	THREDEHYD-RXN;THREONINE--TRNA-LIGASE-RXN;RXN-14569	THREDEHYD-RXN;THREONINE--TRNA-LIGASE-RXN;RXN-14569	THRESYN-RXN	THRESYN-RXN	THRESYN-RXN
NICOTINAMIDE_NUCLEOTIDE	RXN-5841		RXN-5841;2.7.7.1-RXN	DNA-LIGASE-NAD+-RXN;NADPYROPHOSPHAT-RXN	DNA-LIGASE-NAD+-RXN;NADPYROPHOSPHAT-RXN	DNA-LIGASE-NAD+-RXN
CPD-9446				1.1.1.292-RXN		
Charged-LYS-tRNAs			LYSYLTRANSFERASE-RXN	LYSINE--TRNA-LIGASE-RXN	LYSINE--TRNA-LIGASE-RXN	LYSINE--TRNA-LIGASE-RXN
Beta-D-Galactosides	GALACTOACETYLTRAN-RXN;3.2.1.23-RXN	GALACTOACETYLTRAN-RXN;3.2.1.23-RXN	3.2.1.23-RXN			
D-Tryptophanyl-tRNA-Trp	RXN-19729	RXN-19729	RXN-19729			
Nucleoside-Triphosphates	DNA-DIRECTED-RNA-POLYMERASE-RXN	DNA-DIRECTED-RNA-POLYMERASE-RXN	DNA-DIRECTED-RNA-POLYMERASE-RXN			
Protein-Histidines	2.7.13.3-RXN	2.7.13.3-RXN	2.7.13.3-RXN			
NADPH	TRANS-RXN0-277;RXN-22709;GLUTAMATESYN-RXN;RXN-9633;RXN0-1281;ACETOOHBUTREDUCTOISOM-RXN;RXN-19329;GLUTSEMIALDEHYDROG-RXN;THIOREDOXIN-REDUCT-NADPH-RXN;3-OXOACYL-ACP-REDUCT-RXN;NADPH-DEHYDROGENASE-RXN;ACETOLACTREDUCTOISOM-RXN;NADPH-DEHYDROGENASE-FLAVIN-RXN;PYRNUTRANSHYDROGEN-RXN;RXN-20456;UDPNACETYLMURAMATEDEHYDROG-RXN;SHIKIMATE-5-DEHYDROGENASE-RXN;RXN-11726;RXN-12444;RXN-16765;RXN0-5410;RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN;DIHYDROFOLATEREDUCT-RXN;RXN-18357;RXN-20457	ENOYL-ACP-REDUCT-NADPH-RXN;RXN-9528;RXN-9514;RXN-22709;GLUTAMATESYN-RXN;RXN-9633;RXN0-1281;RXN-16630;ACETOOHBUTREDUCTOISOM-RXN;RXN-19329;GLUTSEMIALDEHYDROG-RXN;THIOREDOXIN-REDUCT-NADPH-RXN;3-OXOACYL-ACP-REDUCT-RXN;ACETOLACTREDUCTOISOM-RXN;RXN-9540;1.5.1.24-RXN;RXN-9532;NADPH-DEHYDROGENASE-FLAVIN-RXN;RXN-20456;UDPNACETYLMURAMATEDEHYDROG-RXN;SHIKIMATE-5-DEHYDROGENASE-RXN;RXN-12444;RXN-9518;RXN-14536;RXN-16765;RXN-9524;RXN0-5410;DIHYDROFOLATEREDUCT-RXN;GMP-REDUCT-RXN;RXN-18357;RXN-9536;RXN-20457;2-DEHYDROPANTOATE-REDUCT-RXN;RXN-14169	RXN0-2142;RXN-22709;RXN0-1281;RXN-16630;ACETOOHBUTREDUCTOISOM-RXN;RXN-19329;GLUTSEMIALDEHYDROG-RXN;THIOREDOXIN-REDUCT-NADPH-RXN;3-OXOACYL-ACP-REDUCT-RXN;ACETOLACTREDUCTOISOM-RXN;RXN-10659;RXN-10655;RXN-20456;UDPNACETYLMURAMATEDEHYDROG-RXN;RXN0-300;SHIKIMATE-5-DEHYDROGENASE-RXN;RXN-16622;RXN-16765;RXN-16626;DIHYDROFOLATEREDUCT-RXN;GLUTATHIONE-REDUCT-NADPH-RXN;RXN-18357;RXN0-4022;RXN-16616;RXN-20457;2-DEHYDROPANTOATE-REDUCT-RXN	1.1.1.274-RXN;RXN-22623;RXN-9952;DXPREDISOM-RXN;GLUTDEHYD-RXN;ISOCITDEH-RXN;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;N-ACETYLGLUTPREDUCT-RXN;1.18.1.2-RXN;GLU6PDEHYDROG-RXN	RXN-9952;COA-DISULFIDE-REDUCTASE-NADH-RXN;DTDPDEHYRHAMREDUCT-RXN;RXN-16003;ISOCITDEH-RXN;RXN-13141;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;RXN-16001;RXN-14347;N-ACETYLGLUTPREDUCT-RXN;1.18.1.2-RXN;GLU6PDEHYDROG-RXN	DTDPDEHYRHAMREDUCT-RXN;GLUTDEHYD-RXN;ISOCITDEH-RXN;RXN-13141;ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;N-ACETYLGLUTPREDUCT-RXN;1.2.1.9-RXN;1.18.1.2-RXN
Octanoyl-ACPs	RXN0-947;RXN-13037	RXN-9527			RXN-9659	
glycyl-tRNAAla	RXN-19726	RXN-19726	RXN-19726			
CPD-2961	RXN-9952	RXN-3341;RXN-9952		6PGLUCONOLACT-RXN;GLUCONOKIN-RXN	6PGLUCONOLACT-RXN	
ADENOSINE_DIPHOSPHATE_RIBOSE	RXN0-1441	RXN0-1441		RXN-19911;RXN0-7013		
OROTIDINE-5-PHOSPHATE	OROTPDECARB-RXN;OROPRIBTRANS-RXN	OROTPDECARB-RXN;OROPRIBTRANS-RXN				
Persulfurated-L-cysteine-desulfurases				RXN-15881	RXN-15881	RXN-15881
Glutamine-synthetase-Tyr	GSADENYLATION-RXN					
CDP	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;CDPREDUCT-RXN	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;CDPREDUCT-RXN	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;CDPREDUCT-RXN;CDPKIN-RXN		RXN-11832;RXN-12195	RXN-11832
DNA-6-O-Methyl-Guanines	2.1.1.63-RXN	2.1.1.63-RXN	2.1.1.63-RXN			
N-Acetyl-beta-D-Hexosaminides	3.2.1.52-RXN	3.2.1.52-RXN				
PHOSPHORIBOSYL-ATP	ATPPHOSPHORIBOSYLTRANS-RXN;HISTPRATPHYD-RXN	ATPPHOSPHORIBOSYLTRANS-RXN	ATPPHOSPHORIBOSYLTRANS-RXN;HISTPRATPHYD-RXN			
mRNAs-with-5-monophosphate				RXN0-5510	RXN0-5510	RXN0-5510
2-LYSOPHOSPHATIDYLETHANOLAMINES	RXN-19312					
NIACINE	NICOTINATEPRIBOSYLTRANS-RXN	NICOTINATEPRIBOSYLTRANS-RXN	NICOTINATEPRIBOSYLTRANS-RXN	NICOTINAMID-RXN	NICOTINAMID-RXN	
CPD-3736				RXN66-534		
L-CITRULLINE	ARGSUCCINSYN-RXN	ARGSUCCINSYN-RXN	ARGSUCCINSYN-RXN	ORNCARBAMTRANSFER-RXN	ORNCARBAMTRANSFER-RXN;ARGININE-DEIMINASE-RXN;RXN-7933	ORNCARBAMTRANSFER-RXN;RXN-7933
Charged-GLN-tRNAs				6.3.5.7-RXN	6.3.5.7-RXN	6.3.5.7-RXN
O-PHOSPHO-L-HOMOSERINE	THRESYN-RXN;CYSPH-RXN	THRESYN-RXN;CYSPH-RXN	THRESYN-RXN;CYSPH-RXN	HOMOSERKIN-RXN	HOMOSERKIN-RXN	HOMOSERKIN-RXN
2-PG	2PGADEHYDRAT-RXN;RXN-15513	2PGADEHYDRAT-RXN;RXN-15513	2PGADEHYDRAT-RXN;RXN-15513		GKI-RXN	GKI-RXN
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	RXN0-302			2.7.1.148-RXN		2.7.1.148-RXN
Cellodextrins				RXN-2043		
CPD-16013	RXN-15123	RXN-15123	RXN-15123	RXN-15121	RXN-15121	RXN-15121
Lipid-I	RXN-22615	RXN-22615	RXN-22615			
D-ALLULOSE-6-PHOSPHATE	RXN0-304					
CO3				RXN-18032	RXN-18032	RXN-18032
Sophorosyloxy-FAs-O-6-Acet	RXN-13890			RXN-13889		
Sulfurated-Sulfur-Acceptors	RXN0-5063;RXN-18666;RXN0-6359	RXN-18666;RXN0-6359;2.8.1.6-RXN	RXN0-5063;RXN-18666;RXN0-6359	RXN-12588	RXN-12588	RXN-12588
DGDP	RXN-14207	RXN-14207	DGDPKIN-RXN;RXN-14207	GDPREDUCT-RXN;RXN0-748	GDPREDUCT-RXN;RXN0-748	GDPREDUCT-RXN;RXN0-748
Protein-L-methionine-S-S-oxides	RXN-8668	RXN-8668	RXN-8668			
Oxo-glutarate-dehydrogenase-lipoyl				RXN-7716	RXN-7716	RXN-7716
MALTOHEXAOSE	RXN-14261	RXN-14261	RXN-14261	RXN0-5181	RXN0-5181	3.2.1.98-RXN
CPD-17969				RXN-16665		
CPD-3740	RXN-18212	RXN-18212	RXN-18212			
HYPOXANTHINE	HYPOXANPRIBOSYLTRAN-RXN	HYPOXANPRIBOSYLTRAN-RXN	HYPOXANPRIBOSYLTRAN-RXN		INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN
D-galactopyranose				ALPHAGALACTOSID-RXN;RXN-12398;RXN-19765;3.2.1.47-RXN;RXN-12399;3.2.1.23-RXN;RXN-14409;RXN-17830;RXN-12400	RXN-12398;RXN-19765;RXN-12399;3.2.1.23-RXN;RXN-14409;RXN-12400	RXN-12398;RXN-19765;RXN-12399;3.2.1.23-RXN;RXN-14409;RXN-12400
INULOBIOSE	RXN-22587	RXN-22587	RXN-22587			
15-ANHYDRO-D-FRUCTOSE	1.1.1.292-RXN					
CA+2	TRANS-RXN-194	TRANS-RXN-194	TRANS-RXN-194	TRANS-RXN-194	TRANS-RXN-194	TRANS-RXN-194
TusA-Persulfides				RXN-22700	RXN-22700	RXN-22700
Glycosides				RXN-9985	RXN-9985	RXN-9985
XANTHOSINE-5-PHOSPHATE	GMP-SYN-GLUT-RXN;XMPXAN-RXN	GMP-SYN-GLUT-RXN	GMP-SYN-GLUT-RXN;XMPXAN-RXN	XANPRIBOSYLTRAN-RXN;IMP-DEHYDROG-RXN	XANPRIBOSYLTRAN-RXN;IMP-DEHYDROG-RXN	XANPRIBOSYLTRAN-RXN;IMP-DEHYDROG-RXN
D-aminoacyl-tRNAs	RXN-15041	RXN-15041	RXN-15041			
TDP			DTDPKIN-RXN	DTMPKI-RXN	DTMPKI-RXN	DTMPKI-RXN
CPD-9020	RXN2DNV-43					
CPD-12006				RXN-11042	RXN-11042	
CPD-8990		1.8.4.14-RXN	1.8.4.14-RXN	RXN0-7188	RXN0-7188	RXN0-7188
CPD-17927	RXN-16649;RXN-16650;RXN-16659	RXN-16649;RXN-16650;RXN-16659	RXN-16649;RXN-16650;RXN-16659	RXN-16650	RXN-16650	RXN-16650
LACTALD				LACTALDREDUCT-RXN		
GALACTOSE	ALDOSE1EPIM-RXN	ALDOSE1EPIM-RXN				
L-PHOSPHATIDATE	CDPDIGLYSYN-RXN	CDPDIGLYSYN-RXN	CDPDIGLYSYN-RXN	DIACYLGLYKIN-RXN;RXN-1623	DIACYLGLYKIN-RXN;RXN-1623;1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	DIACYLGLYKIN-RXN
Oligosaccharides				3.2.1.18-RXN		
Pyruvate-dehydrogenase-lipoate	RXN0-1134	RXN0-1134		RXN0-1132	RXN0-1132	RXN0-1132
CPD-1181		RXN0-5297	RXN0-5297	TRANS-RXN-153A	TRANS-RXN-153A	TRANS-RXN-153A
Fatty-Acids	FATTY-ACID-O-METHYLTRANSFERASE-RXN				RXN-12575;RXN-7952;3.1.1.23-RXN	
GLYOX		ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN		RXN-13329;UREIDOGLYCOLATE-LYASE-RXN	RXN-13329	
CPD-468	2-AMINOADIPATE-AMINOTRANSFERASE-RXN					
tRNA-precursors	3.1.13.5-RXN;TRNA-CYTIDYLYLTRANSFERASE-RXN	3.1.26.11-RXN;TRNA-CYTIDYLYLTRANSFERASE-RXN	3.1.26.11-RXN;TRNA-CYTIDYLYLTRANSFERASE-RXN			
CPD-10773	RXN-10017	RXN-10017	RXN-10017	RXN-10015	RXN-10015	RXN-10015
NADH-P-OR-NOP	RXN-12303;RXN66-546;PYRROLINECARBREDUCT-RXN;RXN-19671;RXN0-7386;HOMOSERDEHYDROG-RXN;GLYC3PDEHYDROGBIOSYN-RXN;RXN0-3381;1.1.1.292-RXN;NQOR-RXN;RXN-8941;RXN-14014	RXN-12303;RXN-13853;FMNREDUCT-RXN;2.1.1.74-RXN;RXN66-546;PYRROLINECARBREDUCT-RXN;RXN-19671;RXN0-7386;HOMOSERDEHYDROG-RXN;GLYC3PDEHYDROGBIOSYN-RXN;TSA-REDUCT-RXN;RXN-19387;NQOR-RXN;RXN-14014	RXN-13853;2.1.1.74-RXN;RXN66-546;PYRROLINECARBREDUCT-RXN;HOMOSERDEHYDROG-RXN;GLYC3PDEHYDROGBIOSYN-RXN;RXN-14014	1.5.1.20-RXN	1.5.1.20-RXN	1.5.1.20-RXN;HYDROXYPYRUVATE-REDUCTASE-RXN
Peptide-Peptidoglycan-NAcMur				3.2.1.17-RXN	3.2.1.17-RXN	
PYRIDOXAMINE	PYRAMKIN-RXN	PYRAMKIN-RXN	PYRAMKIN-RXN			
Deoxy-Ribonucleoside-Triphosphates	DNA-DIRECTED-DNA-POLYMERASE-RXN;RXN-20927	DNA-DIRECTED-DNA-POLYMERASE-RXN;RXN-20927	DNA-DIRECTED-DNA-POLYMERASE-RXN;RXN-20927	RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN	RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN	RIBONUCLEOSIDE-TRIP-REDUCT-RXN;1.17.4.2-RXN
Gcv-H	RXN-13037	RXN0-1141				
DUDP			DUDPKIN-RXN	RXN0-722;UDPREDUCT-RXN	RXN0-722;UDPREDUCT-RXN	RXN0-722;UDPREDUCT-RXN
DELTA3-ISOPENTENYL-PP	RXN-8992;RXN-9106;RXN-11023	RXN-11458;TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN;RXN-8999;IPPISOM-RXN;FPPSYN-RXN;GPPSYN-RXN;TRANS-PENTAPRENYLTRANSFERASE-RXN	GPPSYN-RXN;RXN-8999;FPPSYN-RXN	ISPH2-RXN		
SUC-COA	TETHYDPICSUCC-RXN;HOMSUCTRAN-RXN	HOMSUCTRAN-RXN	HOMSUCTRAN-RXN	SUCCCOASYN-RXN		
CPD0-2354	RXN0-6480	RXN0-6480	RXN0-6480	RXN0-6483;RXN0-6481	RXN0-4222	RXN0-4222
Adenine-34-in-tRNAs	RXN-13997	RXN-13997	RXN-13997			
Protein-L-serine-or-L-threonine	PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN	3.1.3.16-RXN	3.1.3.16-RXN	3.1.3.16-RXN
CPD-691				R345-RXN	R345-RXN	R345-RXN
5-OXOPROLINE				RXN-19022;PYROGLUTAMYL-PEPTIDASE-I-RXN	RXN-19022	RXN-19022
CPD-9610	RXN-9358	RXN-9358		RXN-9106		
CPD-12005				RXN-11064	RXN-11064	
STEARIC_ACID	RXN-16380	RXN-16380				
DIHYDROFOLATE	RXN-19329	RXN-19329	RXN-19329	RXN-22709;DIHYDROFOLATESYNTH-RXN	RXN-22709;DIHYDROFOLATESYNTH-RXN	RXN-22709;DIHYDROFOLATESYNTH-RXN
N-ACETYL-D-GLUCOSAMINE				2.4.1.211-RXN;RXN0-5226;RXN-21432	RXN0-5226;RXN-21432	
ISOPENICILLIN-N	5.1.1.17-RXN					
Oxidized-NrdH-Proteins				RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747	RIBONUCLEOSIDE-DIP-REDUCTII-RXN;RXN0-748;RXN0-722;RXN0-747
Demethylmenaquinols				RXN-11047	RXN-11047	
HYDROXY-METHYL-BUTENYL-DIP	RXN0-884;ISPH2-RXN			RXN-15878		
Gln-B	URITRANS-RXN			RXN-16381		
2-KETO-3-DEOXY-6-P-GLUCONATE		KDPGALDOL-RXN		DEOXYGLUCONOKIN-RXN	DEOXYGLUCONOKIN-RXN	
2-KETOGLUTARATE	RXN-13697;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ACETYLORNTRANSAM-RXN;GLUTAMATESYN-RXN;RXN-13698;HISTAMINOTRANS-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN;2-AMINOADIPATE-AMINOTRANSFERASE-RXN;ALANINE-AMINOTRANSFERASE-RXN;RXN-10814;PSERTRANSAM-RXN;RXN-8457;RXN-11737;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;ASPAMINOTRANS-RXN;PSERTRANSAMPYR-RXN;RXN-7737	RXN-13697;RXN-8457;RXN-11737;ASPAMINOTRANS-RXN;ACETYLORNTRANSAM-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ALANINE-AMINOTRANSFERASE-RXN;2.5.1.64-RXN;GLUTAMATESYN-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;PSERTRANSAMPYR-RXN;RXN-10814;RXN-13698;HISTAMINOTRANS-RXN;PSERTRANSAM-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN	RXN-13697;RXN-11737;BRANCHED-CHAINAMINOTRANSFERILEU-RXN;ASPAMINOTRANS-RXN;ACETYLORNTRANSAM-RXN;ALANINE-AMINOTRANSFERASE-RXN;TRYPTOPHAN-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERLEU-RXN;PSERTRANSAMPYR-RXN;RXN-10814;RXN-13698;HISTAMINOTRANS-RXN;PSERTRANSAM-RXN;RXN-7737;TYROSINE-AMINOTRANSFERASE-RXN;BRANCHED-CHAINAMINOTRANSFERVAL-RXN	ISOCITDEH-RXN;GLUTDEHYD-RXN	ISOCITDEH-RXN	RXN-13072;ISOCITDEH-RXN;GLUTDEHYD-RXN
CPD-15435	RXN-14570	RXN-14570	RXN-14570	RXN-14569	RXN-14569	RXN-14569
CPD-12366				RXN-11409	RXN-11409	RXN-11409
CYS-tRNAs	CYSTEINE--TRNA-LIGASE-RXN	CYSTEINE--TRNA-LIGASE-RXN	CYSTEINE--TRNA-LIGASE-RXN	RXN-16637	RXN-16637	RXN-16637
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE		GART-RXN	GART-RXN	GLYRIBONUCSYN-RXN	GLYRIBONUCSYN-RXN	GLYRIBONUCSYN-RXN
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P		IGPSYN-RXN	IGPSYN-RXN	PRAISOM-RXN	PRAISOM-RXN	PRAISOM-RXN
CPD-10774				RXN-10017	RXN-10017	RXN-10017
CPD-21116				RXN-19558	RXN-19558	RXN-19558
